"symbol","logFC","P.Value","chr","description"
"Laptm5",-0.419194246605242,0.5892,"4","lysosomal-associated protein transmembrane 5"
"Fndc3a",-0.418552267884878,0.2932,"14","fibronectin type III domain containing 3A"
"D8Ertd738e",0.416956248265178,0.4288,"8","DNA segment, Chr 8, ERATO Doi 738, expressed"
"Usp9x",-0.416624540839683,0.5584,"X","ubiquitin specific peptidase 9, X chromosome"
"Ttc21a",0.416339398495461,0.3872,"9","tetratricopeptide repeat domain 21A"
"Trip11",-0.415406465183547,0.5204,"12","thyroid hormone receptor interactor 11"
"S1pr1",-0.415157535971534,0.036,"3","sphingosine-1-phosphate receptor 1"
"Coprs",0.414963165075461,0.0916,"8","coordinator of PRMT5, differentiation stimulator"
"N4bp2",-0.414503054710356,0.4636,"5","NEDD4 binding protein 2"
"Lrp1b",-0.413980434989216,0.5616,"2","low density lipoprotein-related protein 1B"
"Slitrk2",-0.413957000925246,0.1676,"X","SLIT and NTRK-like family, member 2"
"Hook1",-0.413303099160258,0.5716,"4","hook microtubule tethering protein 1"
"Sbsn",0.412871126226256,0.2256,"7","suprabasin"
"Atp5k",0.412714194910778,0.4156,"5","ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E"
"Fam183b",0.412531045629154,0.168,"11","family with sequence similarity 183, member B"
"Rpl41",0.41207635166819,0.4516,"10","ribosomal protein L41"
"Scn3a",-0.412028315427647,0.3892,"2","sodium channel, voltage-gated, type III, alpha"
"Hsp90b1",-0.4119025134368,0.1112,"10","heat shock protein 90, beta (Grp94), member 1"
"Ephb4",-0.411859269261104,0.1012,"5","Eph receptor B4"
"Sf3b5",0.411836514935826,0.214,"10","splicing factor 3b, subunit 5"
"Arhgdig",0.411359009589975,0.3816,"17","Rho GDP dissociation inhibitor (GDI) gamma"
"Hspa5",-0.410685104737253,0.0636,"2","heat shock protein 5"
"Hnrnph1",-0.410325460354367,0.2848,"11","heterogeneous nuclear ribonucleoprotein H1"
"Vcam1",-0.40969215589726,0.11,"3","vascular cell adhesion molecule 1"
"Jsrp1",0.409628087515047,0.3508,"10","junctional sarcoplasmic reticulum protein 1"
"Egr1",-0.409331816054049,0.074,"18","early growth response 1"
"1700086O06Rik",0.408577540100529,0.3356,"18","RIKEN cDNA 1700086O06 gene"
"Rbpms",-0.408039903522865,0.0516,"8","RNA binding protein gene with multiple splicing"
"Cdh5",-0.407603265026268,0.3912,"8","cadherin 5"
"Rps19",0.407026217043879,0.4416,"7","ribosomal protein S19"
"Mpdz",-0.406907837660942,0.2352,"4","multiple PDZ domain crumbs cell polarity complex component"
"Acta1",0.406709756458625,0.3576,"8","actin alpha 1, skeletal muscle"
"Ttr",-0.406138749375341,0.82,"18","transthyretin"
"B2m",-0.406118570334552,0.0256,"2","beta-2 microglobulin"
"Egr3",-0.405975679486897,0.1244,"14","early growth response 3"
"Vps13a",-0.404973049040173,0.4124,"19","vacuolar protein sorting 13A"
"Rps20",0.404342149705796,0.3832,"4","ribosomal protein S20"
"Osbpl6",-0.40410055577896,0.1708,"2","oxysterol binding protein-like 6"
"Uqcr11",0.404093667160813,0.3912,"10","ubiquinol-cytochrome c reductase, complex III subunit XI"
"Creb5",-0.40371418796169,0.1864,"6","cAMP responsive element binding protein 5"
"Hey2",-0.403266505401042,0.1924,"10","hairy/enhancer-of-split related with YRPW motif 2"
"Hgh1",0.402700428006426,0.12,"15","HGH1 homolog"
"Bambi",0.402545758105653,0.0804,"18","BMP and activin membrane-bound inhibitor"
"S100a11",-0.402388126847992,0.2496,"3","S100 calcium binding protein A11"
"Sys1",0.402361847808364,0.2016,"2","SYS1 Golgi-localized integral membrane protein homolog (S. cerevisiae)"
"Rps9",0.402021976305285,0.3132,"7","ribosomal protein S9"
"Prkg1",-0.401897988387634,0.1964,"19","protein kinase, cGMP-dependent, type I"
"Ep300",-0.401754474925252,0.2652,"15","E1A binding protein p300"
"Hddc2",0.401744358618337,0.198,"10","HD domain containing 2"
"Prkn",0.401372232418922,0.3836,"17","parkin RBR E3 ubiquitin protein ligase"
"Ccdc88a",-0.401338044586779,0.2368,"11","coiled coil domain containing 88A"
"F5",-0.401204431847522,0.704,"1","coagulation factor V"
"Fam216b",0.401158199767951,0.4308,"14","family with sequence similarity 216, member B"
"Socs4",-0.401120139075255,0.336,"14","suppressor of cytokine signaling 4"
"Rarres2",0.400694030888841,0.1116,"6","retinoic acid receptor responder (tazarotene induced) 2"
"Pdlim2",0.399767137673799,0.334,"14","PDZ and LIM domain 2"
"Pam16",0.399466561140244,0.1812,"16","presequence translocase-asssociated motor 16"
"Plpp2",0.398885718872796,0.2384,"10","phospholipid phosphatase 2"
"Polr2a",-0.398010155368703,0.0224,"11","polymerase (RNA) II (DNA directed) polypeptide A"
