"symbol","logFC","P.Value","chr","description"
"Slc17a8",0.203502211448538,0.1064,"10","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"
"Abcb1a",-0.202925760042334,0.3234,"5","ATP-binding cassette, sub-family B (MDR/TAP), member 1A"
"Dock6",-0.202918106997672,0.1798,"9","dedicator of cytokinesis 6"
"Csf1r",-0.202784260572037,0.4694,"18","colony stimulating factor 1 receptor"
"Siglech",-0.202363464772447,0.4336,"7","sialic acid binding Ig-like lectin H"
"Rbpms",-0.202208582525874,0.1112,"8","RNA binding protein gene with multiple splicing"
"Cplx3",0.201984576612324,0.2798,"9","complexin 3"
"6820431F20Rik",0.201697973649845,0.1228,"8","cadherin 11 pseudogene"
"Eif2ak2",-0.20154430940952,0.0628,"17","eukaryotic translation initiation factor 2-alpha kinase 2"
"Emilin2",0.201437321813086,0.3356,"17","elastin microfibril interfacer 2"
"Wnt3",0.200898914512296,0.2322,"11","wingless-type MMTV integration site family, member 3"
"Clic1",-0.199767172647507,0.1222,"17","chloride intracellular channel 1"
"Cybrd1",0.199512452775174,0.0168,"2","cytochrome b reductase 1"
"Vtn",-0.19922729991772,0.21,"11","vitronectin"
"Neat1",-0.198900113946098,0.364,"19","nuclear paraspeckle assembly transcript 1 (non-protein coding)"
"Itga7",0.198575110985763,0.1204,"10","integrin alpha 7"
"Tcf15",0.198045285913217,0.2584,"2","transcription factor 15"
"Pola1",-0.197735608351373,0.178,"X","polymerase (DNA directed), alpha 1"
"Rps27",0.196846082869994,0.2328,"3","ribosomal protein S27"
"Cdh18",-0.196621567901023,0.2532,"15","cadherin 18"
"Efemp1",-0.196532220109516,0.1852,"11","epidermal growth factor-containing fibulin-like extracellular matrix protein 1"
"Zfp59",0.196281835351631,0.1068,"7","zinc finger protein 59"
"Slc9a5",0.196128049285304,0.0868,"8","solute carrier family 9 (sodium/hydrogen exchanger), member 5"
