"symbol","logFC","P.Value","chr","description"
"Col1a1",-0.348896625515411,0.3308,"11","collagen, type I, alpha 1"
"Ier2",-0.347671606095116,0.1188,"8","immediate early response 2"
"Abcg2",-0.347342029582697,0.0052,"6","ATP binding cassette subfamily G member 2 (Junior blood group)"
"Ccn1",-0.347294100076036,0.1576,"3","cellular communication network factor 1"
"Bmp6",-0.346928563813508,0.334,"13","bone morphogenetic protein 6"
"Catip",-0.346658553227404,0.4948,"1","ciliogenesis associated TTC17 interacting protein"
"Slc35b3",0.346243325896804,0.0352,"13","solute carrier family 35, member B3"
"A230001M10Rik",-0.345879516660949,0.3328,"3","RIKEN cDNA A230001M10 gene"
"Col11a1",0.345766630719483,0.4676,"3","collagen, type XI, alpha 1"
"Slco2b1",-0.345706385455705,0.1856,"7","solute carrier organic anion transporter family, member 2b1"
"Arhgap29",-0.345588969614265,0.1512,"3","Rho GTPase activating protein 29"
"Scube3",-0.345374760462337,0.296,"17","signal peptide, CUB domain, EGF-like 3"
"Xist",0.344945846539355,0.4892,"X","inactive X specific transcripts"
"Gpt",0.344910262235587,0.0456,"15","glutamic pyruvic transaminase, soluble"
"Mirg",0.343948117254202,0.2624,"12","miRNA containing gene"
"Dock8",-0.343761166431435,0.2604,"19","dedicator of cytokinesis 8"
"1700001O22Rik",0.343694087548568,0.366,"2","RIKEN cDNA 1700001O22 gene"
"Eif4ebp1",0.343505966334062,0.41,"8","eukaryotic translation initiation factor 4E binding protein 1"
"Sstr4",-0.343222934514556,0.3832,"2","somatostatin receptor 4"
"Rnf144b",-0.343024606965576,0.026,"13","ring finger protein 144B"
"Trim25",-0.342443708435023,0.0692,"11","tripartite motif-containing 25"
"H2-D1",-0.342344078013561,0.1504,"17","histocompatibility 2, D region locus 1"
"Gm16835",0.341847146435583,0.2536,"14","predicted gene, 16835"
"Csf3r",-0.341816769179358,0.434,"4","colony stimulating factor 3 receptor (granulocyte)"
"C1galt1",-0.341285120746835,0.3376,"6","core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1"
"Klhdc8a",-0.341111792658288,0.1936,"1","kelch domain containing 8A"
"Rnpc3",0.341094566582137,0.2548,"3","RNA-binding region (RNP1, RRM) containing 3"
