"symbol","logFC","P.Value","chr","description"
"Gabra2",0.431394192430486,0.0588,"5","gamma-aminobutyric acid (GABA) A receptor, subunit alpha 2"
"Mcrip2",-0.431098397945786,0.2256,"17","MAPK regulated corepressor interacting protein 2"
"Ubxn11",-0.430963993537737,0.0392,"4","UBX domain protein 11"
"Oprd1",0.43083700719766,0.598,"4","opioid receptor, delta 1"
"Cntnap5c",0.430544936411552,0.4772,"17","contactin associated protein-like 5C"
"Mitd1",-0.430162190810066,0.0216,"1","MIT, microtubule interacting and transport, domain containing 1"
"Efcab6",-0.429559808006337,0.308,"15","EF-hand calcium binding domain 6"
"Fam229b",-0.429484941726374,0.04,"10","family with sequence similarity 229, member B"
"Ushbp1",-0.429424461011713,0.18,"8","USH1 protein network component harmonin binding protein 1"
"Tgfbr3l",-0.428841435219273,0.1272,"8","transforming growth factor, beta receptor III-like"
"Col4a3",-0.428797009526482,0.4792,"1","collagen, type IV, alpha 3"
"Mroh7",-0.428441271225761,0.0644,"4","maestro heat-like repeat family member 7"
"Nabp1",0.428220627021766,0.2912,"1","nucleic acid binding protein 1"
"Ifi27",-0.428119963244648,0.0664,"12","interferon, alpha-inducible protein 27"
"Tmc3",-0.427663615468933,0.1456,"7","transmembrane channel-like gene family 3"
"S100a6",-0.426900529427392,0.1212,"3","S100 calcium binding protein A6 (calcyclin)"
"Lyrm2",-0.426845759732713,0.0276,"4","LYR motif containing 2"
"Lmbr1l",-0.426389065768236,0.1188,"15","limb region 1 like"
"Trim25",-0.426372405923622,0.2212,"11","tripartite motif-containing 25"
"Arsg",-0.426155573228945,0.1028,"11","arylsulfatase G"
"Fst",0.426087521569559,0.036,"13","follistatin"
"Adap2",0.42595787185082,0.586,"11","ArfGAP with dual PH domains 2"
"Susd5",0.425875307541086,0.3064,"9","sushi domain containing 5"
"Mir6236",0.425474275974913,0.3816,"9","microRNA 6236"
"1110017D15Rik",-0.424890179849141,0.438,"4","RIKEN cDNA 1110017D15 gene"
"Rpl18",-0.424878142267276,0.22,"7","ribosomal protein L18"
"Tst",-0.4247845772305,0.2484,"15","thiosulfate sulfurtransferase, mitochondrial"
"Dok3",-0.424335899532937,0.1444,"13","docking protein 3"
"Npas4",0.424332940721181,0.356,"19","neuronal PAS domain protein 4"
"2900076A07Rik",-0.423261943678652,0.0964,"7","RIKEN cDNA 2900076A07 gene"
"Epha6",0.422716436112691,0.2752,"16","Eph receptor A6"
"Gm11681",-0.422351365602667,0.3712,"11","predicted gene 11681"
"Paqr6",-0.422066747522808,0.0216,"3","progestin and adipoQ receptor family member VI"
"Irgm1",-0.421238689163547,0.0844,"11","immunity-related GTPase family M member 1"
"Tmem107",-0.42119622346668,0.056,"11","transmembrane protein 107"
"Rpl41",-0.421108981177202,0.2664,"10","ribosomal protein L41"
"Exph5",0.419614053972527,0.0936,"9","exophilin 5"
"Abca4",-0.419320006083714,0.4504,"3","ATP-binding cassette, sub-family A (ABC1), member 4"
"Sertad1",-0.418576334239238,0.3224,"7","SERTA domain containing 1"
"Gm15612",-0.417039659840095,0.2296,"6","predicted gene 15612"
"Cryzl2",-0.415496761142238,0.276,"1","crystallin zeta like 2"
"Trhde",0.41480474464611,0.1252,"10","TRH-degrading enzyme"
"Tenm1",0.413475206075051,0.6184,"X","teneurin transmembrane protein 1"
